Round,Centre,Date,OPRatio
1,1,07-Oct-93,1.005007511
1,2,16-Nov-93,1.011988012
1,3,25-Aug-93,1.001176471
1,4,21-Dec-93,1.0075
1,5,04-Nov-93,1.009018036
1,6,07-Jul-93,0.987283237
1,7,18-Feb-94,1.002998501
1,8,20-May-94,0.995004995
1,9,19-Mar-94,0.997004493
1,10,20-Jan-94,1.005505506
2,1,16-Jan-95,1.004004004
2,2,25-Oct-94,1.001995012
2,3,05-Apr-95,1.00921659
2,4,29-Sep-94,1.007
2,5,15-Dec-94,0.992
2,6,28-Jun-94,0.981155779
2,6.1,10-Aug-95,1.008
2,7,04-Jul-96,1.006996502
2,8,18-Oct-95,1.001
2,9,08-Dec-95,0.99
2,10,02-Feb-95,1
3,1,09-Jun-98,1.003147954
3,2,11-Nov-97,0.9945
3,3,10-Jun-97,1.0075
3,4,03-Mar-97,0.988
3,5,09-Oct-97,0.9885
3,6,06-Dec-96,0.985549133
3,7,01-Oct-98,1.0015
3,8,20-Feb-98,1.00047619
3,9,21-Aug-98,1.0045
3,10,24-Jul-97,0.981
4,1,05-Jun-00,1.014467593
4,2,25-Jun-99,0.9995
4,3,13-Jan-99,0.996692393
4,4,21-Apr-99,0.999
4,5,22-Feb-99,1.005506608
4,6,12-May-00,1.01
4,7,12-Apr-01,0.997
4,7.1,18-Jul-01,1.008859358
4,8,11-Oct-00,1
4,9,24-Mar-00,1
4,10,11-Aug-99,0.974
5,1,13-Jun-02,1.003468208
5,2,22-Mar-02,1.0115
5,3,20-Feb-03,1.005506608
5,4,31-Dec-01,0.998
5,5,30-Nov-01,0.996503497
5,6,23-Jul-02,0.989595376
5,7,24-Nov-03,0.9925
5,8,09-Oct-02,0.987
5,9,25-Oct-02,1.003285871
5,10,15-Jul-03,0.997807018
6,2,15-Dec-04,0.9955
6,4,30-Sep-03,0.995
6,5,09-Mar-04,0.998841251
6,6,18-May-04,1.006944444
6,8,25-Aug-04,0.990963855
6,8.1,25-Aug-04,0.99000999
6,10,15-Jul-03,0.997807018
6,10.1,15-Jul-03,1.002304147
7,1,29-Jun-06,1.002312139
7,2,22-Jun-07,1.004
7,3,30-Jul-07,1.001101322
7,4,10-May-07,1.002
7,4.1,10-May-07,0.996
7,5,11-Apr-07,0.991008991
7,5.1,11-Apr-07,0.985985986
7,6,01-Aug-06,0.979
7,7,20-Sep-06,1.007
7,8,28-Feb-07,0.998
7,8.1,28-Feb-07,0.991
7,9,26-Mar-07,1.009036145
7,9.1,26-Mar-07,0.999003984
8,1,19-Dec-08,1.005780347
8,1.1,19-Dec-08,1.003289474
8,2,19-Jun-08,1.0035
8,4,07-Nov-08,0.988
8,5,12-Sep-08,1.007
8,5.1,12-Sep-08,1.006
8,6,18-Apr-08,1.005827506
8,7,14-Oct-08,0.998
8,8,24-Sep-08,0.98
8,8.1,24-Sep-08,0.991
8,9,07-Feb-08,0.994
8,9.1,07-Feb-08,0.996
8,10,28-Jul-08,1.006
8,10.1,27-Aug-08,0.995
10,1,17-Nov-10,1
10,1.1,17-Nov-10,1
10,2,29-Apr-10,0.998
10,4,01-Jul-10,1.007
10,4.1,01-Jul-10,0.998
10,4.2,04-Nov-10,1.0015
10,4.3,04-Nov-10,1.0005
10,5,23-Feb-10,1.007
10,5.1,23-Feb-10,1.008
10,6,21-May-10,1.004640371
10,7,10-Sep-10,1
10,7.1,10-Sep-10,0.988423865
10,8,10-Mar-10,0.999
10,8.1,10-Mar-10,0.998
10,9,25-Aug-10,1.002006018
10,9.1,25-Aug-10,0.993027888
10,11,17-Jun-10,0.995
10,11.1,17-Jun-10,0.996
11,1,17-Aug-11,1.008791209
11,1.1,17-Aug-11,1.005813953
11,2,11-Aug-11,1.0071
11,2.1,11-Aug-11,1.00135
11,3,23-Aug-11,1.006952491
11,3.1,23-Aug-11,0.994541485
11,5,09-Feb-11,1.009
11,5.1,10-Feb-11,0.999
11,6,15-Jun-11,0.999
11,6.1,12-Dec-11,0.989
11,7,06-Oct-11,1.009
11,7.1,06-Oct-11,1.003561888
11,8,04-Aug-11,0.9992
11,8.1,04-Aug-11,1.0058
11,8.2,18-May-11,0.998
11,8.3,18-May-11,1.003
11,9,15-Apr-11,0.999
11,9.1,15-Apr-11,0.9977
12,3,23-Jul-12,0.997
12,5,18-Apr-12,1.002
12,5.1,18-Apr-12,0.999
12,6,20-Dec-12,0.993391304
12,7,31-Aug-12,1.008
12,7.1,31-Aug-12,1.006233304
12,8,28-Mar-12,1.002
12,8.1,28-Mar-12,0.984
12,9,19-Sep-12,1.001148106
12,9.1,19-Sep-12,1.007726269
12,10,20-Sep-12,1.008
12,10.1,20-Sep-12,1.002
13,1,17-Jun-13,0.998837209
13,1.1,17-Jun-13,0.994505495
13,2,04-Dec-13,0.993
13,3,23-Jul-13,1.004634994
13,4,17-Sep-13,1.004
13,6,05-Dec-13,0.999
13,6.1,05-Dec-13,0.999
13,7,08-Jul-13,1.005
13,8,20-May-13,1.001
13,8.1,20-May-13,1
13,10,15-Mar-13,1.003
13,10.1,15-Mar-13,1.007
13,11,05-Feb-13,0.998
